From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
MRPS28	Q9Y2Q9	Small ribosomal subunit protein bS1m (28S ribosomal protein S28, mitochondrial) (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt)	MRPS28 MRPS35 HSPC007		mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]	
MRPS28	A0A0S2Z563	Mitochondrial ribosomal protein S28 isoform 1	MRPS28		mitochondrion [GO:0005739]; ribosome [GO:0005840]	
MRPS28	A0A0S2Z5D2	Mitochondrial ribosomal protein S28 isoform 4 (Mitochondrial ribosomal protein S28, isoform CRA_c)	MRPS28 hCG_20836		ribosome [GO:0005840]	
MRPS28	A0A0S2Z5H0	Mitochondrial ribosomal protein S28 isoform 2 (Mitochondrial ribosomal protein S28, isoform CRA_b)	MRPS28 hCG_20836		ribosome [GO:0005840]	
MRPS28	E5RFH3	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	E5RFT8	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	E5RGC7	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	E5RK86	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	H0YAT2	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	H7C5V3	Mitochondrial ribosomal protein S28	MRPS28			
MRPS28	U3KQQ8	Mitochondrial ribosomal protein S28	MRPS28			
MRPS34	P82930	Small ribosomal subunit protein mS34 (28S ribosomal protein S34, mitochondrial) (MRP-S34) (S34mt)	MRPS34	FUNCTION: Required for mitochondrial translation, plays a role in maintaining the stability of the small ribosomal subunit and the 12S rRNA that are required for mitoribosome formation. {ECO:0000269|PubMed:28777931}.	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]	
MRPS34	C9JJ19	Mitochondrial ribosomal protein S34	MRPS34		mitochondrion [GO:0005739]	
MT-ND5	P03915	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:15250827). Essential for the catalytic activity and assembly of complex I (PubMed:15250827). {ECO:0000269|PubMed:15250827}.	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	
NAA10	P41227	N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10)	NAA10 ARD1 ARD1A TE2	FUNCTION: Catalytic subunit of N-terminal acetyltransferase complexes which display alpha (N-terminal) acetyltransferase activity (PubMed:15496142, PubMed:19420222, PubMed:19826488, PubMed:20145209, PubMed:20154145, PubMed:25489052, PubMed:27708256, PubMed:29754825, PubMed:32042062). Acetylates amino termini that are devoid of initiator methionine (PubMed:19420222). The alpha (N-terminal) acetyltransferase activity may be important for vascular, hematopoietic and neuronal growth and development. Without NAA15, displays epsilon (internal) acetyltransferase activity towards HIF1A, thereby promoting its degradation (PubMed:12464182). Represses MYLK kinase activity by acetylation, and thus represses tumor cell migration (PubMed:19826488). Acetylates, and stabilizes TSC2, thereby repressing mTOR activity and suppressing cancer development (PubMed:20145209). Acetylates HSPA1A and HSPA1B at 'Lys-77' which enhances its chaperone activity and leads to preferential binding to co-chaperone HOPX (PubMed:27708256). Acetylates HIST1H4A (PubMed:29754825). Acts as a negative regulator of sister chromatid cohesion during mitosis (PubMed:27422821). {ECO:0000269|PubMed:12464182, ECO:0000269|PubMed:15496142, ECO:0000269|PubMed:19420222, ECO:0000269|PubMed:19826488, ECO:0000269|PubMed:20145209, ECO:0000269|PubMed:20154145, ECO:0000269|PubMed:25489052, ECO:0000269|PubMed:27422821, ECO:0000269|PubMed:27708256, ECO:0000269|PubMed:29754825, ECO:0000269|PubMed:32042062}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; NatA complex [GO:0031415]; nucleolus [GO:0005730]; nucleus [GO:0005634]	Q8WYK0; P05067; Q15052; Q14155; Q8WXS3-2; Q6W2J9-4; Q13137; A0AAG2UWT9; Q9BWC9; Q6PII3; Q96FF9; Q9C0F1; P13569; Q8IUR6; Q96D03; Q6P158; A2ABF9; Q6UN15; Q9NWQ4-1; Q92845; P60370; P60371; P60409; Q96EZ8; O15151; P50222; Q6FHY5; Q9UHC7; P82912; Q9BXJ9; Q6N069; Q9GZZ1; Q16236; Q86UR1-2; Q5VU43; Q5VU43-2; P27986-2; Q9NRY6; Q9Y5P8; Q96QF0; Q96QF0-7; P63000; Q9BYM8; Q96D15; O15034-2; Q13214-2; Q8WV41; Q9Y2D8; Q5H9L4; Q7Z6J9; O43829; O95125; Q8N720; O55043
NAA10	A8MWP7	N-terminal amino-acid N(alpha)-acetyltransferase NatA (EC 2.3.1.255)	NAA10		NatA complex [GO:0031415]	
NAA10	C9JN83	N-terminal amino-acid N(alpha)-acetyltransferase NatA (EC 2.3.1.255)	NAA10		NatA complex [GO:0031415]	
NAA10	C9JW55	N-terminal amino-acid N(alpha)-acetyltransferase NatA (EC 2.3.1.255)	NAA10		NatA complex [GO:0031415]	
NAA10	F8W808	N-terminal amino-acid N(alpha)-acetyltransferase NatA (EC 2.3.1.255)	NAA10		NatA complex [GO:0031415]	
NCAPG2	Q86XI2	Condensin-2 complex subunit G2 (Chromosome-associated protein G2) (CAP-G2) (hCAP-G2) (Leucine zipper protein 5) (Non-SMC condensin II complex subunit G2)	NCAPG2 LUZP5	FUNCTION: Regulatory subunit of the condensin-2 complex, a complex which establishes mitotic chromosome architecture and is involved in physical rigidity of the chromatid axis. {ECO:0000269|PubMed:14532007, ECO:0000269|PubMed:30609410}.	condensed nuclear chromosome [GO:0000794]; condensin complex [GO:0000796]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	Q6IBW4
NCAPG2	F8WE06	Non-SMC condensin II complex subunit G2	NCAPG2		nucleus [GO:0005634]	
NCAPG2	H0Y6U5	Non-SMC condensin II complex subunit G2	NCAPG2		nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]	
NDUFA10	O95299	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}.	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	
NDUFA10	A0A087WXC5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V2F6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial matrix [GO:0005759]	
NDUFA10	A0A7I2V2I6	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	A0A7I2V2J5	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	A0A7I2V2N6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]	
NDUFA10	A0A7I2V2Q2	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	A0A7I2V2W9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]	
NDUFA10	A0A7I2V2X3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V327	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V3D4	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	A0A7I2V3H5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V419	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V438	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V458	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V4N8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V594	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V5B2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2V5L0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]	
NDUFA10	A0A7I2V5U7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	A0A7I2YQU0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	C9J6X0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	E7ESZ7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	F8WEH0	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	H7C1Y7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	H7C2W5	NADH:ubiquinone oxidoreductase subunit A10	NDUFA10			
NDUFA10	H7C2X4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195, ECO:0000256|PIRNR:PIRNR000543}.	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
NDUFA10	Q53QE8	Uncharacterized protein NDUFA10	NDUFA10			
NDUFA10	Q53SW4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)	NDUFA10	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial matrix [GO:0005759]	
NDUFA10	Q8N1B9	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex, 10, 42kDa, isoform CRA_c (NADH:ubiquinone oxidoreductase subunit A10) (NDUFA10 protein)	NDUFA10 hCG_20530		mitochondrion [GO:0005739]	
NDUFA13	Q9P0J0	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis (PubMed:27626371). Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (PubMed:27626371). Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes (PubMed:15753091). {ECO:0000269|PubMed:12628925, ECO:0000269|PubMed:12867595, ECO:0000269|PubMed:15753091, ECO:0000269|PubMed:27626371}.	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; respiratory chain complex [GO:0098803]; respiratory chain complex I [GO:0045271]	O43464; P42858; Q9HC29
NDUFA13	B4DEZ3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUFA13	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes. {ECO:0000256|ARBA:ARBA00045908}.; FUNCTION: Complex I functions in the transfer of electrons from NADH to the respiratory chain. Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. {ECO:0000256|RuleBase:RU368034}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA13	K7EJE1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUFA13	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes. {ECO:0000256|ARBA:ARBA00045908}.; FUNCTION: Complex I functions in the transfer of electrons from NADH to the respiratory chain. Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. {ECO:0000256|RuleBase:RU368034}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA13	K7EP87	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUFA13	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes. {ECO:0000256|ARBA:ARBA00045908}.; FUNCTION: Complex I functions in the transfer of electrons from NADH to the respiratory chain. Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. {ECO:0000256|RuleBase:RU368034}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA13	U3KQP3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	NDUFA13	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. Involved in the interferon/all-trans-retinoic acid (IFN/RA) induced cell death. This apoptotic activity is inhibited by interaction with viral IRF1. Prevents the transactivation of STAT3 target genes. May play a role in CARD15-mediated innate mucosal responses and serve to regulate intestinal epithelial cell responses to microbes. {ECO:0000256|ARBA:ARBA00045908}.; FUNCTION: Complex I functions in the transfer of electrons from NADH to the respiratory chain. Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. {ECO:0000256|RuleBase:RU368034}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA3	O95167	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (CI-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}.	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]	Q9BUF7-2; Q15125; Q9UKR5; Q6ZVE7; O95214; Q8N4V1; P15941-11; Q9UHI5; Q96MV1; Q96DZ7; Q96IK0; Q9NUH8; Q6UW68; Q9NWH2; Q9Y320
NDUFA3	A8MUI2	NADH:ubiquinone oxidoreductase subunit A3	NDUFA3			
NDUFA3	A8MVM8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA3	A8MYJ8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA3	F2Z2C6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA3	H7C0D7	NADH:ubiquinone oxidoreductase subunit A3	NDUFA3			
NDUFA3	H7C2R1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
NDUFA3	Q6FGG4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 (Complex I-B9) (NADH-ubiquinone oxidoreductase B9 subunit)	NDUFA3 hCG_20947	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000256|ARBA:ARBA00003195}.	mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]	
