"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"NDUFB3","NDUFB3",-0.9165750568,2.774873286,3,220,"(-1,-0.9]","FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}.","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit)"
"NDUFB5","NDUFB5",-0.607490249,2.848550663,3,190,"(-0.7,-0.6]","FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}.","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)"
"NDUFB9","NDUFB9",-1.623102544,2.412234459,3,239,"(-1.7,-1.6]","FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed to be not involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:27626371}.","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit)"
"NDUFS4","NDUFS4",-1.229685523,2.385603575,3,234,"(-1.3,-1.2]","FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:11181577, ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:9463323}.","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)"
"NDUFS7","NDUFS7",-1.074034193,2.879832321,3,232,"(-1.1,-1]","FUNCTION: Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) which catalyzes electron transfer from NADH through the respiratory chain, using ubiquinone as an electron acceptor (PubMed:17275378). Essential for the catalytic activity of complex I (PubMed:17275378). {ECO:0000269|PubMed:17275378}.","NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial (EC 7.1.1.2) (Complex I-20kD) (CI-20kD) (NADH-ubiquinone oxidoreductase 20 kDa subunit) (PSST subunit)"
"NOP10","NOP10",-0.462201635,2.080386965,3,151,"(-0.5,-0.4]","FUNCTION: Required for ribosome biogenesis and telomere maintenance. Part of the H/ACA small nucleolar ribonucleoprotein (H/ACA snoRNP) complex, which catalyzes pseudouridylation of rRNA (PubMed:32554502). This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1. Each rRNA can contain up to 100 pseudouridine ('psi') residues, which may serve to stabilize the conformation of rRNAs. May also be required for correct processing or intranuclear trafficking of TERC, the RNA component of the telomerase reverse transcriptase (TERT) holoenzyme. {ECO:0000269|PubMed:15044956, ECO:0000269|PubMed:32554502}.","H/ACA ribonucleoprotein complex subunit 3 (Nucleolar protein 10) (Nucleolar protein family A member 3) (snoRNP protein NOP10)"
"NUDT5","NUDT5",-0.2742885136,1.109847471,3,63,"(-0.3,-0.2]","FUNCTION: Enzyme that can either act as an ADP-sugar pyrophosphatase in absence of diphosphate or catalyze the synthesis of ATP in presence of diphosphate (PubMed:27257257). In absence of diphosphate, hydrolyzes with similar activities various modified nucleoside diphosphates such as ADP-ribose, ADP-mannose, ADP-glucose, 8-oxo-GDP and 8-oxo-dGDP (PubMed:10567213, PubMed:10722730, PubMed:17052728, PubMed:19699693, PubMed:21389046). Can also hydrolyze other nucleotide sugars with low activity (PubMed:19699693, PubMed:21389046). In presence of diphosphate, mediates the synthesis of ATP in the nucleus by catalyzing the conversion of ADP-ribose to ATP and ribose 5-phosphate. Nuclear ATP synthesis takes place when dephosphorylated at Thr-45 (PubMed:27257257). Nuclear ATP generation is required for extensive chromatin remodeling events that are energy-consuming (PubMed:27257257). Does not play a role in U8 snoRNA decapping activity (By similarity). Binds U8 snoRNA (By similarity). {ECO:0000250|UniProtKB:Q9JKX6, ECO:0000269|PubMed:10567213, ECO:0000269|PubMed:10722730, ECO:0000269|PubMed:17052728, ECO:0000269|PubMed:19699693, ECO:0000269|PubMed:21389046, ECO:0000269|PubMed:27257257}.","ADP-sugar pyrophosphatase (EC 3.6.1.13) (8-oxo-dGDP phosphatase) (EC 3.6.1.58) (Nuclear ATP-synthesis protein NUDIX5) (EC 2.7.7.96) (Nucleoside diphosphate-linked moiety X motif 5) (Nudix motif 5) (hNUDT5) (YSA1H)"
"NUP160","NUP160",0.4399923633,2.587018482,3,25,"(0.4,0.5]","FUNCTION: Functions as a component of the nuclear pore complex (NPC) (PubMed:11564755, PubMed:11684705). Involved in poly(A)+ RNA transport. {ECO:0000269|PubMed:11564755, ECO:0000269|PubMed:11684705}.","Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160)"
"OXA1L","OXA1L",-0.5093225924,2.288093854,3,167,"(-0.6,-0.5]","FUNCTION: Mitochondrial membrane insertase that mediates the cotranslational insertion of integral membrane proteins into the mitochondrial inner membrane (PubMed:17936786, PubMed:33602856, PubMed:7991568). Essential for the activity and assembly of cytochrome oxidase (PubMed:17936786, PubMed:7991568). Required for the correct biogenesis of ATP synthase and complex I in mitochondria (PubMed:17936786, PubMed:7991568). {ECO:0000269|PubMed:17936786, ECO:0000269|PubMed:33602856, ECO:0000269|PubMed:7991568}.","Mitochondrial inner membrane protein OXA1L (OXA1Hs) (Oxidase assembly 1-like protein) (OXA1-like protein)"
"P4HB","P4HB",-0.2783255155,1.8688396,3,65,"(-0.3,-0.2]","FUNCTION: This multifunctional protein catalyzes the formation, breakage and rearrangement of disulfide bonds. At the cell surface, seems to act as a reductase that cleaves disulfide bonds of proteins attached to the cell. May therefore cause structural modifications of exofacial proteins. Inside the cell, seems to form/rearrange disulfide bonds of nascent proteins. At high concentrations and following phosphorylation by FAM20C, functions as a chaperone that inhibits aggregation of misfolded proteins (PubMed:32149426). At low concentrations, facilitates aggregation (anti-chaperone activity). May be involved with other chaperones in the structural modification of the TG precursor in hormone biogenesis. Also acts as a structural subunit of various enzymes such as prolyl 4-hydroxylase and microsomal triacylglycerol transfer protein MTTP. Receptor for LGALS9; the interaction retains P4HB at the cell surface of Th2 T helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration (PubMed:21670307). {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:12485997, ECO:0000269|PubMed:21670307, ECO:0000269|PubMed:32149426}.","Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)"
"PABPC1;PABPC3","PABPC1",-0.4156553348,2.492903195,4,128,"(-0.5,-0.4]","FUNCTION: Binds the poly(A) tail of mRNA, including that of its own transcript, and regulates processes of mRNA metabolism such as pre-mRNA splicing and mRNA stability (PubMed:11051545, PubMed:17212783, PubMed:25480299). Its function in translational initiation regulation can either be enhanced by PAIP1 or repressed by PAIP2 (PubMed:11051545, PubMed:20573744). Can probably bind to cytoplasmic RNA sequences other than poly(A) in vivo. Binds to N6-methyladenosine (m6A)-containing mRNAs and contributes to MYC stability by binding to m6A-containing MYC mRNAs (PubMed:32245947). Involved in translationally coupled mRNA turnover (PubMed:11051545). Implicated with other RNA-binding proteins in the cytoplasmic deadenylation/translational and decay interplay of the FOS mRNA mediated by the major coding-region determinant of instability (mCRD) domain (PubMed:11051545). Involved in regulation of nonsense-mediated decay (NMD) of mRNAs containing premature stop codons; for the recognition of premature termination codons (PTC) and initiation of NMD a competitive interaction between UPF1 and PABPC1 with the ribosome-bound release factors is proposed (PubMed:18447585). By binding to long poly(A) tails, may protect them from uridylation by ZCCHC6/ZCCHC11 and hence contribute to mRNA stability (PubMed:25480299). {ECO:0000269|PubMed:11051545, ECO:0000269|PubMed:17212783, ECO:0000269|PubMed:18447585, ECO:0000269|PubMed:20573744, ECO:0000269|PubMed:25480299, ECO:0000269|PubMed:32245947}.; FUNCTION: (Microbial infection) Positively regulates the replication of dengue virus (DENV). {ECO:0000269|PubMed:26735137}.","Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)"
"PABPC4","PABPC4",-0.3265331611,1.580315973,3,86,"(-0.4,-0.3]","FUNCTION: Binds the poly(A) tail of mRNA (PubMed:8524242). Binds to SMIM26 mRNA and plays a role in its post-transcriptional regulation (PubMed:37009826). May be involved in cytoplasmic regulatory processes of mRNA metabolism. Can probably bind to cytoplasmic RNA sequences other than poly(A) in vivo (By similarity). {ECO:0000250|UniProtKB:P11940, ECO:0000269|PubMed:37009826, ECO:0000269|PubMed:8524242}.","Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4) (Activated-platelet protein 1) (APP-1) (Inducible poly(A)-binding protein) (iPABP)"
"PABPN1","PABPN1",-0.4197644256,2.328037112,3,129,"(-0.5,-0.4]","FUNCTION: Involved in the 3'-end formation of mRNA precursors (pre-mRNA) by the addition of a poly(A) tail of 200-250 nt to the upstream cleavage product (By similarity). Stimulates poly(A) polymerase (PAPOLA) conferring processivity on the poly(A) tail elongation reaction and also controls the poly(A) tail length (By similarity). Increases the affinity of poly(A) polymerase for RNA (By similarity). Is also present at various stages of mRNA metabolism including nucleocytoplasmic trafficking and nonsense-mediated decay (NMD) of mRNA. Cooperates with SKIP to synergistically activate E-box-mediated transcription through MYOD1 and may regulate the expression of muscle-specific genes (PubMed:11371506). Binds to poly(A) and to poly(G) with high affinity (By similarity). May protect the poly(A) tail from degradation (By similarity). Subunit of the trimeric poly(A) tail exosome targeting (PAXT) complex, a complex that directs a subset of long and polyadenylated poly(A) RNAs for exosomal degradation. The RNA exosome is fundamental for the degradation of RNA in eukaryotic nuclei. Substrate targeting is facilitated by its cofactor MTREX, which links to RNA-binding protein adapters (PubMed:27871484). {ECO:0000250|UniProtKB:Q28165, ECO:0000269|PubMed:11371506, ECO:0000269|PubMed:27871484}.","Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)"
"PCBD1","PCBD1",0.4702544808,1.595907434,3,22,"(0.4,0.5]","FUNCTION: Involved in tetrahydrobiopterin biosynthesis (By similarity). Seems to both prevent the formation of 7-pterins and accelerate the formation of quinonoid-BH2. Coactivator for HNF1A-dependent transcription (By similarity). Regulates the dimerization of homeodomain protein HNF1A and enhances its transcriptional activity (By similarity). Also acts as a coactivator for HNF1B-dependent transcription (PubMed:24204001). {ECO:0000250|UniProtKB:P61459, ECO:0000269|PubMed:24204001}.","Pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Dimerization cofactor of hepatocyte nuclear factor 1-alpha) (DCoH) (Dimerization cofactor of HNF1) (Phenylalanine hydroxylase-stimulating protein) (Pterin carbinolamine dehydratase) (PCD)"
"PCBP1","PCBP1",0.3187635541,1.288075238,3,43,"(0.3,0.4]","FUNCTION: Single-stranded nucleic acid binding protein that binds preferentially to oligo dC (PubMed:15731341, PubMed:7556077, PubMed:7607214, PubMed:8152927). Together with PCBP2, required for erythropoiesis, possibly by regulating mRNA splicing (By similarity). {ECO:0000250|UniProtKB:P60335, ECO:0000269|PubMed:15731341, ECO:0000269|PubMed:7556077, ECO:0000269|PubMed:7607214, ECO:0000269|PubMed:8152927}.; FUNCTION: (Microbial infection) In case of infection by poliovirus, plays a role in initiation of viral RNA replication in concert with the viral protein 3CD. {ECO:0000269|PubMed:12414943}.","Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)"
"PDCL3","PDCL3",0.3660201753,2.05849251,3,36,"(0.3,0.4]","FUNCTION: Acts as a chaperone for the angiogenic VEGF receptor KDR/VEGFR2, increasing its abundance by inhibiting its ubiquitination and degradation (PubMed:23792958, PubMed:26059764). Inhibits the folding activity of the chaperonin-containing T-complex (CCT) which leads to inhibition of cytoskeletal actin folding (PubMed:17429077). Acts as a chaperone during heat shock alongside HSP90 and HSP40/70 chaperone complexes (By similarity). Modulates the activation of caspases during apoptosis (PubMed:15371430). {ECO:0000250|UniProtKB:Q4KLJ8, ECO:0000269|PubMed:15371430, ECO:0000269|PubMed:17429077, ECO:0000269|PubMed:23792958, ECO:0000269|PubMed:26059764}.","Phosducin-like protein 3 (HTPHLP) (PhPL3) (Viral IAP-associated factor 1) (VIAF-1)"
"PHB2","PHB2",-0.7449136691,2.189153156,3,210,"(-0.8,-0.7]","FUNCTION: Protein with pleiotropic attributes mediated in a cell-compartment- and tissue-specific manner, which include the plasma membrane-associated cell signaling functions, mitochondrial chaperone, and transcriptional co-regulator of transcription factors and sex steroid hormones in the nucleus. {ECO:0000269|PubMed:10359819, ECO:0000269|PubMed:11302691, ECO:0000269|PubMed:20959514, ECO:0000269|PubMed:24003225, ECO:0000269|PubMed:28017329, ECO:0000269|PubMed:31522117}.; FUNCTION: In the mitochondria, together with PHB, forms large ring complexes (prohibitin complexes) in the inner mitochondrial membrane (IMM) and functions as a chaperone protein that stabilizes mitochondrial respiratory enzymes and maintains mitochondrial integrity in the IMM, which is required for mitochondrial morphogenesis, neuronal survival, and normal lifespan (Probable). The prohibitin complex, with DNAJC19, regulates cardiolipin remodeling and the protein turnover of OMA1 in a cardiolipin-binding manner (By similarity). Also regulates cytochrome-c oxidase assembly (COX) and mitochondrial respiration (PubMed:11302691, PubMed:20959514). Binding to sphingoid 1-phosphate (SPP) modulates its regulator activity (PubMed:11302691, PubMed:20959514). Has a key role of mitophagy receptor involved in targeting mitochondria for autophagic degradation (PubMed:28017329). Involved in mitochondrial-mediated antiviral innate immunity, activates RIG-I-mediated signal transduction and production of IFNB1 and pro-inflammatory cytokine IL6 (PubMed:31522117). {ECO:0000250|UniProtKB:O35129, ECO:0000269|PubMed:11302691, ECO:0000269|PubMed:20959514, ECO:0000269|PubMed:28017329, ECO:0000269|PubMed:31522117, ECO:0000305|PubMed:25904163}.; FUNCTION: In the nucleus, serves as transcriptional co-regulator (Probable). Acts as a mediator of transcriptional repression by nuclear hormone receptors via recruitment of histone deacetylases. Functions as an estrogen receptor (ER)-selective coregulator that potentiates the inhibitory activities of antiestrogens and represses the activity of estrogens. Competes with NCOA1 for modulation of ER transcriptional activity (By similarity). {ECO:0000250|UniProtKB:O35129, ECO:0000305|PubMed:25904163}.; FUNCTION: In the plasma membrane, is involved in IGFBP6-induced cell migration (PubMed:24003225). Cooperates with CD86 to mediate CD86-signaling in B lymphocytes that regulates the level of IgG1 produced through the activation of distal signaling intermediates. Upon CD40 engagement, required to activate NF-kappa-B signaling pathway via phospholipase C and protein kinase C activation (By similarity). {ECO:0000250|UniProtKB:O35129, ECO:0000269|PubMed:24003225}.; FUNCTION: (Microbial infection) Involved in human enterovirus 71/EV-71 infection by enhancing the autophagy mechanism during the infection. {ECO:0000269|PubMed:32276428}.","Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)"
"PLD3","PLD3",0.4265169178,2.1926503,3,27,"(0.4,0.5]","FUNCTION: 5'->3' exonuclease that hydrolyzes the phosphodiester bond of single-stranded DNA (ssDNA) and RNA molecules to form nucleoside 3'-monophosphates and 5'-end 5'-hydroxy deoxyribonucleotide/ribonucleotide fragments (PubMed:30111894, PubMed:30312375, PubMed:34620855, PubMed:37225734, PubMed:37994783, PubMed:38537643, PubMed:38697119). Partially redundant with PLD4, can cleave all four nucleotides displaying higher efficiency for ssDNA and RNA fragments initiated with uridine and guanosine residues and lower efficiency for cytidine-initiated substrates (PubMed:30111894, PubMed:30312375, PubMed:34620855, PubMed:37225734, PubMed:37994783, PubMed:38537643, PubMed:38697119). As a result, it does not always degrade polynucleotides to the single nucleotide level, it can stall at specific sites sparing certain fragments from exonucleolytic degradation (PubMed:30111894, PubMed:30312375, PubMed:34620855, PubMed:37225734, PubMed:37994783, PubMed:38537643, PubMed:38697119). Processes self and pathogenic ssDNA and RNA molecules that reach the endolysosomal compartment via phagocytosis or autophagy and may serve as 'danger' signals for recognition by innate immune receptors such as toll-like receptors (TLRs) (PubMed:34620855, PubMed:37225734, PubMed:38697119). Degrades mitochondrial CpG-rich ssDNA fragments to prevent TLR9 activation and autoinflammatory response, but it can cleave viral RNA to generate ligands for TLR7 activation and initiate antiviral immune responses (PubMed:34620855, PubMed:37225734, PubMed:38697119). In plasmacytoid dendritic cells, it cooperates with endonuclease RNASET2 to release 2',3'-cyclic guanosine monophosphate (2',3'-cGMP), a potent stimulatory ligand for TLR7 (PubMed:34620855, PubMed:37225734, PubMed:38697119). Produces 2',3'-cGMPs and cytidine-rich RNA fragments that occupy TLR7 ligand-binding pockets and trigger a signaling-competent state (PubMed:34620855, PubMed:37225734, PubMed:38697119). Can exert polynucleotide phosphatase activity toward 5'-phosphorylated ssDNA substrates although at a slow rate (PubMed:38537643). Transphosphatidylase that catalyzes the exchange with R to S stereo-inversion of the glycerol moiety between (S,R)-lysophosphatidylglycerol (LPG) and monoacylglycerol (MAG) substrates to yield (S,S)-bis(monoacylglycero)phosphate (BMP) (PubMed:39423811). Can synthesize a variety of (S,S)-BMPs representing the main phospholipid constituent of lysosomal intralumenal vesicle (ILV) membranes that bind acid hydrolases for lipid degradation (PubMed:39423811). Regulates the homeostasis and interorganellar communication of the endolysosomal system with an overall impact on cellular removal of dysfunctional organelles via autophagy as well as proper protein and lipid turnover (PubMed:28128235, PubMed:29368044, PubMed:37225734). May play a role in myotube formation in response to ER stress (PubMed:22428023). {ECO:0000269|PubMed:22428023, ECO:0000269|PubMed:28128235, ECO:0000269|PubMed:29368044, ECO:0000269|PubMed:30111894, ECO:0000269|PubMed:30312375, ECO:0000269|PubMed:34620855, ECO:0000269|PubMed:37225734, ECO:0000269|PubMed:37994783, ECO:0000269|PubMed:38537643, ECO:0000269|PubMed:38697119, ECO:0000269|PubMed:39423811}.","5'-3' exonuclease PLD3 (EC 3.1.16.1) ((S,S)-bis(monoacylglycero)phosphate synthase PLD3) (EC 3.1.4.-) (HindIII K4L homolog) (Hu-K4) (Phospholipase D3)"
"PLGRKT","PLGRKT",-0.9081834865,2.611434879,3,218,"(-1,-0.9]","FUNCTION: Receptor for plasminogen. Regulates urokinase plasminogen activator-dependent and stimulates tissue-type plasminogen activator-dependent cell surface plasminogen activation. Proposed to be part of a local catecholaminergic cell plasminogen activation system that regulates neuroendocrine prohormone processing. Involved in regulation of inflammatory response; regulates monocyte chemotactic migration and matrix metalloproteinase activation, such as of MMP2 and MMP9. {ECO:0000269|PubMed:21940822}.","Plasminogen receptor (KT) (Plg-R(KT))"
"PMPCA","PMPCA",0.3289038572,2.641093938,3,42,"(0.3,0.4]","FUNCTION: Substrate recognition and binding subunit of the essential mitochondrial processing protease (MPP), which cleaves the mitochondrial sequence off newly imported precursors proteins. {ECO:0000269|PubMed:25808372}.","Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (Inactive zinc metalloprotease alpha) (P-55)"
"POLE3","POLE3",0.4903296195,2.261137515,3,18,"(0.4,0.5]","FUNCTION: Accessory component of the DNA polymerase epsilon complex (PubMed:10801849). Participates in DNA repair and in chromosomal DNA replication (By similarity). Forms a complex with CHRAC1 and binds naked DNA, which is then incorporated into chromatin, aided by the nucleosome-remodeling activity of ISWI/SNF2H and ACF1 (PubMed:10801849). Does not enhance nucleosome sliding activity of the ACF-5 ISWI chromatin remodeling complex (PubMed:14759371). {ECO:0000250|UniProtKB:Q04603, ECO:0000269|PubMed:10801849, ECO:0000269|PubMed:14759371}.","DNA polymerase epsilon subunit 3 (Arsenic-transactivated protein) (AsTP) (Chromatin accessibility complex 17 kDa protein) (CHRAC-17) (HuCHRAC17) (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17)"
"PPIB","PPIB",-0.2882415255,1.994183742,3,69,"(-0.3,-0.2]","FUNCTION: PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding. {ECO:0000269|PubMed:20676357}.","Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)"
"PPIF","PPIF",-0.7413811212,2.48172237,3,209,"(-0.8,-0.7]","FUNCTION: PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding (PubMed:20676357). Involved in regulation of the mitochondrial permeability transition pore (mPTP) (PubMed:26387735). It is proposed that its association with the mPTP is masking a binding site for inhibiting inorganic phosphate (Pi) and promotes the open probability of the mPTP leading to apoptosis or necrosis; the requirement of the PPIase activity for this function is debated (PubMed:26387735). In cooperation with mitochondrial p53/TP53 is involved in activating oxidative stress-induced necrosis (PubMed:22726440). Involved in modulation of mitochondrial membrane F(1)F(0) ATP synthase activity and regulation of mitochondrial matrix adenine nucleotide levels (By similarity). Has anti-apoptotic activity independently of mPTP and in cooperation with BCL2 inhibits cytochrome c-dependent apoptosis (PubMed:19228691). {ECO:0000250|UniProtKB:Q99KR7, ECO:0000269|PubMed:19228691, ECO:0000269|PubMed:20676357, ECO:0000269|PubMed:22726440, ECO:0000269|PubMed:26387735}.","Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)"
"PPP1R10","PPP1R10",0.3289463868,1.264664868,3,41,"(0.3,0.4]","FUNCTION: Scaffold protein which mediates the formation of the PTW/PP1 phosphatase complex by providing a binding platform to each component of the complex. The PTW/PP1 phosphatase complex plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Mediates interaction of WDR82 and PPP1CA. Inhibitor of PPP1CA and PPP1CC phosphatase activities. Has inhibitory activity on PPP1CA only when phosphorylated. Binds to mRNA, single-stranded DNA (ssDNA), poly(A) and poly(G) homopolymers (By similarity). {ECO:0000250, ECO:0000269|PubMed:9450550}.","Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99)"
"PRKCSH","PRKCSH",-0.2820959042,2.335257582,3,68,"(-0.3,-0.2]","FUNCTION: Regulatory subunit of glucosidase II that cleaves sequentially the 2 innermost alpha-1,3-linked glucose residues from the Glc(2)Man(9)GlcNAc(2) oligosaccharide precursor of immature glycoproteins (PubMed:10929008). Required for efficient PKD1/Polycystin-1 biogenesis and trafficking to the plasma membrane of the primary cilia (By similarity). {ECO:0000250|UniProtKB:O08795, ECO:0000269|PubMed:10929008}.","Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain) (PKCSH)"
"PRPF38A","PRPF38A",0.3864494811,2.405430794,3,34,"(0.3,0.4]","FUNCTION: Involved in pre-mRNA splicing as a component of the spliceosome. {ECO:0000269|PubMed:26673105, ECO:0000269|PubMed:28781166}.","Pre-mRNA-splicing factor 38A"
"RAB5A","RAB5A",0.2830329612,1.67849986,3,52,"(0.2,0.3]","FUNCTION: Small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate cellular responses such as of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Active GTP-bound form is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB5A is required for the fusion of plasma membranes and early endosomes (PubMed:10818110, PubMed:14617813, PubMed:15378032, PubMed:16410077). Contributes to the regulation of filopodia extension (PubMed:14978216). Required for the exosomal release of SDCBP, CD63, PDCD6IP and syndecan (PubMed:22660413). Regulates maturation of apoptotic cell-containing phagosomes, probably downstream of DYN2 and PIK3C3 (By similarity). {ECO:0000250|UniProtKB:Q9CQD1, ECO:0000269|PubMed:10818110, ECO:0000269|PubMed:14617813, ECO:0000269|PubMed:14978216, ECO:0000269|PubMed:15378032, ECO:0000269|PubMed:16410077, ECO:0000269|PubMed:22660413}.","Ras-related protein Rab-5A (EC 3.6.5.2)"
"RALA;RALB","RALA",-0.3431290115,2.347197559,3,91,"(-0.4,-0.3]","FUNCTION: Multifunctional GTPase involved in a variety of cellular processes including gene expression, cell migration, cell proliferation, oncogenic transformation and membrane trafficking. Accomplishes its multiple functions by interacting with distinct downstream effectors (PubMed:18756269, PubMed:19306925, PubMed:20005108, PubMed:21822277, PubMed:30500825). Acts as a GTP sensor for GTP-dependent exocytosis of dense core vesicles. The RALA-exocyst complex regulates integrin-dependent membrane raft exocytosis and growth signaling (PubMed:20005108). Key regulator of LPAR1 signaling and competes with GRK2 for binding to LPAR1 thus affecting the signaling properties of the receptor. Required for anchorage-independent proliferation of transformed cells (PubMed:19306925). During mitosis, supports the stabilization and elongation of the intracellular bridge between dividing cells. Cooperates with EXOC2 to recruit other components of the exocyst to the early midbody (PubMed:18756269). During mitosis, also controls mitochondrial fission by recruiting to the mitochondrion RALBP1, which mediates the phosphorylation and activation of DNM1L by the mitotic kinase cyclin B-CDK1 (PubMed:21822277). {ECO:0000269|PubMed:18756269, ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:20005108, ECO:0000269|PubMed:21822277, ECO:0000269|PubMed:30500825}.","Ras-related protein Ral-A (EC 3.6.5.2)"
"RBMX;RBMXL1;RBMXL2","RBMX",-0.3757088979,2.329091543,3,109,"(-0.4,-0.3]","FUNCTION: RNA-binding protein that plays several role in the regulation of pre- and post-transcriptional processes. Implicated in tissue-specific regulation of gene transcription and alternative splicing of several pre-mRNAs. Binds to and stimulates transcription from the tumor suppressor TXNIP gene promoter; may thus be involved in tumor suppression. When associated with SAFB, binds to and stimulates transcription from the SREBF1 promoter. Associates with nascent mRNAs transcribed by RNA polymerase II. Component of the supraspliceosome complex that regulates pre-mRNA alternative splice site selection. Can either activate or suppress exon inclusion; acts additively with TRA2B to promote exon 7 inclusion of the survival motor neuron SMN2. Represses the splicing of MAPT/Tau exon 10. Binds preferentially to single-stranded 5'-CC[A/C]-rich RNA sequence motifs localized in a single-stranded conformation; probably binds RNA as a homodimer. Binds non-specifically to pre-mRNAs. Also plays a role in the cytoplasmic TNFR1 trafficking pathways; promotes both the IL-1-beta-mediated inducible proteolytic cleavage of TNFR1 ectodomains and the release of TNFR1 exosome-like vesicles to the extracellular compartment. {ECO:0000269|PubMed:12165565, ECO:0000269|PubMed:12761049, ECO:0000269|PubMed:16707624, ECO:0000269|PubMed:18445477, ECO:0000269|PubMed:18541147, ECO:0000269|PubMed:19282290, ECO:0000269|PubMed:21327109}.","RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G) (hnRNP G) [Cleaved into: RNA-binding motif protein, X chromosome, N-terminally processed]"
